version,date,time,gpx_file,distance_km,total_seconds,moving_seconds,stopped_seconds,average_kmh,maximum_kmh,gpx_points
1,2026-08-13,04:26:07,/TRK_20260813_042518.GPX,0.024,48,21,26,3.91,5.42,14
1,2026-08-13,04:37:54,/TRK_20260813_043532.GPX,0.029,142,39,102,2.58,4.13,26
1,2026-08-15,00:14:51,/TRK_20260815_001357.GPX,0.016,52,16,35,3.40,6.09,10
